atleta,n_registros,n_dias,n_pre_pos,tem_d1,tem_d7,assiduidade
A01,25,7,6,1,1,completa
A02,21,7,6,1,1,completa
A03,4,3,1,1,0,esparsa
A04,16,7,4,1,1,completa
A05,15,7,4,1,1,completa
A06,7,4,2,1,1,esparsa
A07,28,7,6,1,1,completa
A08,5,3,1,1,0,esparsa
A09,10,6,2,1,1,parcial
A10,13,7,5,1,1,completa
A11,23,7,6,1,1,completa
A12,26,7,6,1,1,completa
A13,31,7,6,1,1,completa
A14,3,2,1,1,0,esparsa
A15,14,6,3,1,0,parcial
A16,10,5,4,1,0,parcial
A17,22,7,6,1,1,completa
A18,16,7,5,1,1,completa
A19,24,7,6,1,1,completa
A20,20,7,6,1,1,completa
A21,17,7,6,1,1,completa
A22,28,7,6,1,1,completa
A23,12,7,3,1,1,completa
A24,25,7,6,1,1,completa
A25,6,4,2,1,0,esparsa
A26,20,7,5,1,1,completa
A27,15,7,5,1,1,completa
