cenario,dia,horas,fadiga_prevista,vigor_previsto
I · redistribuição,1,2.6190476190476186,4.011542112033681,6.836768356623669
I · redistribuição,2,2.619047619047619,5.1721757204116106,5.698359099174045
I · redistribuição,3,4.5,4.996002517386923,5.870991528631809
I · redistribuição,4,2.619047619047619,6.005721675519395,4.88077426882386
I · redistribuição,5,5.0,4.949171665949981,5.916881161778811
I · redistribuição,6,4.071428571428571,6.091264709351771,4.796740050590565
I · redistribuição,7,1.5714285714285714,5.913921596293397,4.970909712496792
II · teto de recuperação,1,5.0,3.7885380575720524,7.055290419228435
II · teto de recuperação,2,5.0,6.004293128111735,4.881963655006424
II · teto de recuperação,3,4.5,6.051123979548677,4.836074021859423
II · teto de recuperação,4,5.0,5.782717621057767,5.099296331428626
II · teto de recuperação,5,5.0,6.004293128111735,4.881963655006424
II · teto de recuperação,6,5.0,6.004293128111735,4.881963655006424
II · teto de recuperação,7,2.6999999999999997,6.219715044721669,4.67087134253022
observado,1,1.5,4.1163540176306475,6.7340629871994295
observado,2,2.0,4.73424968735561,6.127954591079827
observado,3,4.5,4.721670937224867,6.140070080392629
observado,4,2.5,6.016871878242477,4.869848165693622
observado,5,5.0,4.896415592841894,5.96862703711743
observado,6,5.0,6.004293128111735,4.881963655006424
observado,7,2.5,6.238447385296446,4.65251548927142
