id,unidade,recorte_tipo,recorte,perfil,prevalencia,n,erro_padrao
1,U-R,geral,todos,Iceberg,28.50877192982456,456,
2,U-R,geral,todos,Superfície,11.403508771929824,456,
3,U-R,geral,todos,Submerso,13.37719298245614,456,
4,U-R,geral,todos,Barbatana de tubarão,31.140350877192986,456,
5,U-R,geral,todos,Iceberg invertido,13.596491228070176,456,
6,U-R,geral,todos,Everest invertido,1.9736842105263157,456,
7,U-AD,geral,todos,Iceberg,30.120481927710845,166,
8,U-AD,geral,todos,Superfície,13.855421686746988,166,
9,U-AD,geral,todos,Submerso,15.060240963855422,166,
10,U-AD,geral,todos,Barbatana de tubarão,25.301204819277107,166,
11,U-AD,geral,todos,Iceberg invertido,14.457831325301203,166,
12,U-AD,geral,todos,Everest invertido,1.2048192771084338,166,
13,U-286,geral,todos,Iceberg,27.368421052631582,285,
14,U-286,geral,todos,Superfície,12.280701754385964,285,
15,U-286,geral,todos,Submerso,15.789473684210526,285,
16,U-286,geral,todos,Barbatana de tubarão,27.719298245614034,285,
17,U-286,geral,todos,Iceberg invertido,14.385964912280702,285,
18,U-286,geral,todos,Everest invertido,2.456140350877193,285,
19,U-PAR,geral,todos,Iceberg,29.37062937062937,143,
20,U-PAR,geral,todos,Superfície,13.286713286713287,143,
21,U-PAR,geral,todos,Submerso,12.587412587412588,143,
22,U-PAR,geral,todos,Barbatana de tubarão,27.27272727272727,143,
23,U-PAR,geral,todos,Iceberg invertido,16.083916083916083,143,
24,U-PAR,geral,todos,Everest invertido,1.3986013986013985,143,
25,U-AD,dia,D1,Iceberg,44.44444444444444,27,9.562921842487448
26,U-AD,dia,D2,Iceberg,23.076923076923077,26,8.262863931224224
27,U-AD,dia,D3,Iceberg,34.61538461538461,26,9.330087000722768
28,U-AD,dia,D4,Iceberg,28.57142857142857,21,9.858079419176489
29,U-AD,dia,D5,Iceberg,30.434782608695656,23,9.594387554215139
30,U-AD,dia,D6,Iceberg,27.27272727272727,22,9.495144870310792
31,U-AD,dia,D7,Iceberg,19.047619047619047,21,8.56890867468988
32,U-AD,dia,D1,Superfície,22.22222222222222,27,8.00091444247884
33,U-AD,dia,D2,Superfície,23.076923076923077,26,8.262863931224224
34,U-AD,dia,D3,Superfície,7.6923076923076925,26,5.225894003744288
35,U-AD,dia,D4,Superfície,19.047619047619047,21,8.56890867468988
36,U-AD,dia,D5,Superfície,8.695652173913043,23,5.875338475584142
37,U-AD,dia,D6,Superfície,9.090909090909092,22,6.1290896587567465
38,U-AD,dia,D7,Superfície,4.761904761904762,21,4.647143204516825
39,U-AD,dia,D1,Submerso,18.51851851851852,27,7.4756798866604734
40,U-AD,dia,D2,Submerso,11.538461538461538,26,6.265626800161944
41,U-AD,dia,D3,Submerso,11.538461538461538,26,6.265626800161944
42,U-AD,dia,D4,Submerso,14.285714285714285,21,7.636035483212125
43,U-AD,dia,D5,Submerso,17.391304347826086,23,7.903419644751181
44,U-AD,dia,D6,Submerso,9.090909090909092,22,6.1290896587567465
45,U-AD,dia,D7,Submerso,23.809523809523807,21,9.29428640903365
46,U-AD,dia,D1,Barbatana de tubarão,3.7037037037037033,27,3.6344694923159864
47,U-AD,dia,D2,Barbatana de tubarão,30.76923076923077,26,9.051513929454648
48,U-AD,dia,D3,Barbatana de tubarão,26.923076923076923,26,8.698929247330863
49,U-AD,dia,D4,Barbatana de tubarão,28.57142857142857,21,9.858079419176489
50,U-AD,dia,D5,Barbatana de tubarão,34.78260869565217,23,9.931134621220187
51,U-AD,dia,D6,Barbatana de tubarão,31.818181818181817,22,9.930260198923898
52,U-AD,dia,D7,Barbatana de tubarão,23.809523809523807,21,9.29428640903365
53,U-AD,dia,D1,Iceberg invertido,11.11111111111111,27,6.04812282168686
54,U-AD,dia,D2,Iceberg invertido,11.538461538461538,26,6.265626800161944
55,U-AD,dia,D3,Iceberg invertido,19.230769230769234,26,7.729201466043274
56,U-AD,dia,D4,Iceberg invertido,4.761904761904762,21,4.647143204516825
57,U-AD,dia,D5,Iceberg invertido,8.695652173913043,23,5.875338475584142
58,U-AD,dia,D6,Iceberg invertido,22.727272727272727,22,8.934606739851096
59,U-AD,dia,D7,Iceberg invertido,23.809523809523807,21,9.29428640903365
60,U-AD,dia,D1,Everest invertido,0.0,27,0.0
61,U-AD,dia,D2,Everest invertido,0.0,26,0.0
62,U-AD,dia,D3,Everest invertido,0.0,26,0.0
63,U-AD,dia,D4,Everest invertido,4.761904761904762,21,4.647143204516825
