variavel,nivel,f,pct,f_acum,pct_acum
Estímulo do dia,Basal,48,10.526315789473685,48,10.526315789473685
Estímulo do dia,HIIT,194,42.54385964912281,242,53.07017543859649
Estímulo do dia,Amistoso,146,32.01754385964912,388,85.08771929824562
Estímulo do dia,Técnico/força,68,14.912280701754385,456,100.0
Período do dia,Manhã (05h-11h),111,24.342105263157894,111,24.342105263157894
Período do dia,Tarde (12h-17h),267,58.55263157894737,378,82.89473684210526
Período do dia,Noite (18h-04h),78,17.105263157894736,456,100.0
Dia do microciclo,D1,48,10.526315789473685,48,10.526315789473685
Dia do microciclo,D2,88,19.29824561403509,136,29.82456140350877
Dia do microciclo,D3,75,16.44736842105263,211,46.271929824561404
Dia do microciclo,D4,60,13.157894736842104,271,59.42982456140351
Dia do microciclo,D5,71,15.570175438596491,342,75.0
Dia do microciclo,D6,68,14.912280701754385,410,89.91228070175438
Dia do microciclo,D7,46,10.087719298245615,456,100.0
Sensação física,Péssimo,61,13.37719298245614,61,13.37719298245614
Sensação física,Ruim,89,19.517543859649123,150,32.89473684210526
Sensação física,Regular,184,40.35087719298246,334,73.24561403508773
Sensação física,Bem,110,24.12280701754386,444,97.36842105263158
Sensação física,Muito bem,12,2.6315789473684212,456,100.0
Sensação mental,Péssimo,34,7.456140350877193,34,7.456140350877193
Sensação mental,Ruim,49,10.74561403508772,83,18.20175438596491
Sensação mental,Regular,131,28.728070175438596,214,46.92982456140351
Sensação mental,Bem,201,44.078947368421055,415,91.00877192982456
Sensação mental,Muito bem,41,8.991228070175438,456,100.0
