variavel,tipo,n,minimo,q1,mediana,q3,maximo,media,desvio,erro_padrao,cv,iqr,mad,assimetria,curtose,shapiro_w,shapiro_p,tukey_inf,tukey_sup,n_tukey_moderado,n_tukey_extremo,n_z3,n_zmod,fora_dominio,iqr_nulo,mad_nulo,k_sturges,k_freedman_diaconis,h_freedman_diaconis,pct_no_piso
Tensão,discreta,456,0.0,0.0,1.0,2.0,8.0,1.3903508771929824,1.8352575912021623,0.08594381102587709,131.9995996195877,2.0,1.0,1.4309482398197029,1.5031187950100522,0.7655337001057297,5.478099796854523e-25,-3.0,5.0,24,0,14,14,0,0,0,10,16,0.5196828406118895,49.56140350877193
Depressão,discreta,456,0.0,0.0,0.0,1.0,16.0,1.0,2.3138379705256273,0.10835539067466422,231.38379705256273,1.0,0.0,3.6274989649206844,14.93079181732146,0.4894790061593203,4.130899316253555e-34,-1.5,2.5,51,27,15,,0,0,1,10,62,0.25984142030594476,67.10526315789474
Raiva,discreta,456,0.0,0.0,0.0,2.0,15.0,1.6008771929824561,2.7268948041311343,0.12769854916125314,170.33753844983522,2.0,0.0,2.064912767671138,4.216890737698914,0.6567463644285608,2.862962952924594e-29,-3.0,5.0,53,14,10,,0,0,1,10,29,0.5196828406118895,59.64912280701754
Vigor,discreta,456,0.0,4.0,6.0,8.0,15.0,5.6951754385964914,3.1169967885999923,0.14596674834742288,54.73047884488241,4.0,2.0,0.03345436112682404,-0.23767447163429134,0.9738967717892555,2.831370929770279e-07,-2.0,14.0,1,0,0,0,0,0,0,10,15,1.039365681223779,8.552631578947368
Fadiga,discreta,456,0.0,3.0,5.0,8.0,16.0,5.644736842105263,3.8892490216716316,0.1821307725702817,68.90044886877483,5.0,3.0,0.5861163041160374,-0.3970544292300078,0.9492781005348021,2.1609608498846197e-11,-4.5,15.5,4,0,0,0,0,0,0,10,13,1.2992071015297237,7.675438596491229
Confusão,discreta,456,0.0,0.0,0.0,0.0,9.0,0.4517543859649123,1.1887185791516348,0.0556668477598486,263.1338214044395,0.0,0.0,3.7339258645595996,16.960696489321244,0.44036669633079695,2.7573292018626614e-35,0.0,0.0,89,89,8,,0,1,1,10,,0.0,80.48245614035088
TMD,discreta,456,-12.0,-2.0,2.0,8.0,52.0,4.392543859649122,9.640885309893052,0.45147581961661076,219.48296062462467,10.0,5.0,1.4803554034978912,3.3133948391628776,0.8953921022341285,4.202107531721583e-17,-17.0,23.0,22,4,4,13,0,0,0,10,25,2.5984142030594475,0.21929824561403508
Epworth,discreta,456,0.0,6.0,10.0,13.0,18.0,9.699561403508772,5.016859468640661,0.23493596985140597,51.72253940086234,7.0,3.0,-0.16450661523542268,-0.6199215376655309,0.9621274528641156,1.8929588091399244e-09,-4.5,23.5,0,0,0,0,0,0,0,10,10,1.8188899421416134,7.017543859649122
PSS,discreta,456,9.0,19.0,22.0,26.0,40.0,22.05921052631579,4.846977378225714,0.22698051207518208,21.972578630787606,7.0,3.0,-0.05413776374795149,0.2577466949903715,0.986605537921748,0.00033061503550843834,8.5,36.5,3,0,3,1,0,0,0,10,18,1.8188899421416134,0.43859649122807015
Fad.Física,discreta,456,0.0,5.0,6.0,8.0,10.0,6.116228070175438,2.3378584697951137,0.10948025361480969,38.22386024476773,3.0,2.0,-0.3748320736109354,-0.5559026978533965,0.9606838494790033,1.0964273278692874e-09,0.5,12.5,3,0,0,0,0,0,0,10,13,0.7795242609178343,0.6578947368421052
Fad.Mental,discreta,456,0.0,2.0,4.0,7.0,10.0,4.589912280701754,2.809838913098603,0.131582762941914,61.21770398341916,5.0,2.0,0.21342783523726308,-0.9380333467338136,0.9545700897455491,1.2351381658814607e-10,-5.5,14.5,0,0,0,0,0,0,0,10,8,1.2992071015297237,5.263157894736842
TQR,ordinal,454,6.0,9.25,13.0,14.0,20.0,11.865638766519824,3.1520706830711496,0.14793400712793014,26.5646944517227,4.75,2.0,-0.30214041251370954,-0.675988212436847,0.9536892769594723,9.824049109755915e-11,2.125,21.125,0,0,0,0,0,0,0,10,12,1.2360564950078117,8.149779735682818
Hora do registro,contínua,456,0.43333333333333335,11.779166666666667,14.3,16.033333333333335,23.916666666666668,14.526242690058481,3.948669847976976,0.184913407711784,27.183008932374367,4.254166666666668,1.8499999999999979,-0.11606534585525799,0.9095428306038595,0.9543024396609059,1.1274609749264939e-10,5.3979166666666645,22.414583333333336,23,0,6,7,0,0,0,10,22,1.1054087088848736,0.21929824561403508
T de Tensão,contínua,456,37.0003249918752,37.0003249918752,40.2502437439064,43.5001624959376,62.9996750081248,41.51885237956771,5.964438060455516,0.27931040307402366,14.365613976822585,6.499837504062398,3.249918752031199,1.4309482398197,1.5031187950100469,0.7655337001057297,5.478099796854523e-25,27.250568735781606,53.2499187520312,24,0,14,14,,0,0,10,16,1.6889270088134205,49.56140350877193
T de Depressão,contínua,456,45.002678093197645,45.002678093197645,45.002678093197645,50.3588644884842,130.70166041778253,50.35886448848421,12.393347458626819,0.5803716693875962,24.610061375511876,5.3561863952865565,0.0,3.6274989649206826,14.930791817321452,0.4894790061593206,4.130899316253672e-34,36.96839850026781,58.393144081414036,51,27,15,,,0,1,10,62,1.3917590803746374,67.10526315789474
T de Raiva,contínua,456,45.0,45.0,45.0,58.14060446780552,143.5545335085414,55.518246997256604,17.91652302320062,0.839018062820323,32.271413440136094,13.140604467805517,0.0,2.0649127676711383,4.216890737698916,0.6567463644285605,2.8629629529244917e-29,25.289093298291725,77.8515111695138,53,14,10,,,0,1,10,29,3.4144733285932287,59.64912280701754
T de Vigor,contínua,456,28.99794976934905,39.24910302409021,44.37467965146079,49.500256278831365,67.4397744746284,43.593478827771634,7.988202943618639,0.374081876851417,18.324307117535383,10.251153254741155,5.125576627370577,0.03345436112682355,-0.23767447163429267,0.9738967717892555,2.831370929770295e-07,23.87237314197848,64.87698616094309,3,0,0,0,,0,0,10,15,2.66367422148585,8.552631578947368
T de Fadiga,contínua,456,40.0,49.93706525339516,56.56177542232527,66.49884067572043,92.99768135144087,58.697372779414586,12.882573771684765,0.603281790560721,21.947445280213184,16.56177542232527,9.937065253395161,0.5861163041160364,-0.3970544292300069,0.9492781005348028,2.1609608498850746e-11,25.094402119907258,91.34150380920833,4,0,0,0,,0,0,10,13,4.303435248525086,7.675438596491229
T de Confusão,contínua,456,41.99887703537338,41.99887703537338,41.99887703537338,41.99887703537338,92.53228523301516,44.535398012155596,6.674444576932257,0.3125595045471567,14.986830419951604,0.0,0.0,3.7339258645595996,16.96069648932126,0.44036669633079706,2.7573292018626614e-35,41.99887703537338,41.99887703537338,89,89,8,,,1,1,10,,0.0,80.48245614035088
