id,autores,ano,titulo,veiculo,doi,url_doi,pubmed,url_pubmed,open_access,url_oa,abnt,usada_em
1,"BEEDIE, C",2000,The profile of mood states and athletic performance: two meta-analyses,journal of applied sport psychology,10.1080/10413200008404213,https://doi.org/10.1080/10413200008404213,,,,,"BEEDIE, C. J.; TERRY, P. C.; LANE, A. M. The profile of mood states and athletic performance: two meta-analyses. Journal of Applied Sport Psychology, v. 12, n. 1, p. 49-68, 2000.",ambos
2,"BELGACEM, A",2026,"Impact of competitive anxiety on mood, sleep, and physical activity levels in young karate athletes",,10.1097/MD.0000000000048435,https://doi.org/10.1097/MD.0000000000048435,,,,,"BELGACEM, A.; SALEM, A.; YILDIZ, M. et al. Impact of competitive anxiety on mood, sleep, and physical activity levels in young karate athletes. Medicine, v. 105, 2026.",ambos
3,"BIRD, S",2025,"Wellness, mood, sleep, and performance in a women's national basketball team during international competition",,10.5114/jhk/200117,https://doi.org/10.5114/jhk/200117,,,,,"BIRD, S. P.; PARSONS-SMITH, R. L.; KING, R. et al. Wellness, mood, sleep, and performance in a women's national basketball team during international competition. Journal of Human Kinetics, 2025.",ambos
4,"BJØRNDAL, C",2021,"An examination of training load, match activities, and health problems in Norwegian youth elite handball players over one competitive season",frontiers in sports and active living,10.3389/fspor.2021.635103,https://doi.org/10.3389/fspor.2021.635103,,,,,"BJØRNDAL, C. T.; BACHE-MATHIESEN, L. K.; GJESDAL, S. et al. An examination of training load, match activities, and health problems in Norwegian youth elite handball players over one competitive season. Frontiers in Sports and Active Living, v. 3, 635103, 2021.",ambos
5,"BÜCHEL, D",2026,Inter-individual differences in weekly training load in international-level handball players,frontiers in sports and active living,10.3389/fspor.2025.1605750,https://doi.org/10.3389/fspor.2025.1605750,,,,,"BÜCHEL, D.; DÖRING, M.; BAUMEISTER, J. Inter-individual differences in weekly training load in international-level handball players. Frontiers in Sports and Active Living, v. 7, 1605750, 2026.",ambos
6,"COCHRAN, W",1950,The comparison of percentages in matched samples,,10.1093/biomet/37.3-4.256,https://doi.org/10.1093/biomet/37.3-4.256,,,,,"COCHRAN, W. G. The comparison of percentages in matched samples. Biometrika, v. 37, n. 3-4, p. 256-266, 1950.",ambos
7,"COSTA, J",2022,The importance of sleep in athletes,,10.5772/intechopen.102535,https://doi.org/10.5772/intechopen.102535,,,,,"COSTA, J. A.; FIGUEIREDO, P.; NAKAMURA, F. Y. The importance of sleep in athletes. In: SLEEP MEDICINE AND THE EVOLUTION OF CONTEMPORARY SLEEP SCIENCE. London: IntechOpen, 2022.",ambos
8,"FERREIRA, A",2023,Effects of different training load magnitudes on sleep pattern and mood state in young soccer players,,10.1055/s-0043-1770247,https://doi.org/10.1055/s-0043-1770247,,,,,"FERREIRA, A. B. M.; RIBEIRO, B. L. L.; MELO, A. L. L. S. et al. Effects of different training load magnitudes on sleep pattern and mood state in young soccer players. Sleep Science, v. 16, 2023.",ambos
9,"FRIEDMAN, M",1937,The use of ranks to avoid the assumption of normality implicit in the analysis of variance,,10.1080/01621459.1937.10503522,https://doi.org/10.1080/01621459.1937.10503522,,,,,"FRIEDMAN, M. The use of ranks to avoid the assumption of normality implicit in the analysis of variance. Journal of the American Statistical Association, v. 32, n. 200, p. 675-701, 1937.",ambos
10,"GARCÍA-SÁNCHEZ, C",2023,Physical demands during official competitions in elite handball: a systematic review,international journal of environmental research and public health,10.3390/ijerph20043353,https://doi.org/10.3390/ijerph20043353,,,,,"GARCÍA-SÁNCHEZ, C. et al. Physical demands during official competitions in elite handball: a systematic review. International Journal of Environmental Research and Public Health, v. 20, n. 4, 3353, 2023.",ambos
11,"GARRETT, J",2020,Comparison of a countermovement jump test and submaximal run test to quantify the sensitivity for detecting practically important changes within high-performance Australian rules football,,10.1123/ijspp.2019-0150,https://doi.org/10.1123/ijspp.2019-0150,,,,,"GARRETT, J.; GRAHAM, S. R.; ESTON, R. G. et al. Comparison of a countermovement jump test and submaximal run test to quantify the sensitivity for detecting practically important changes within high-performance Australian rules football. International Journal of Sports Physiology and Performance, v. 15, n. 1, p. 68-72, 2020.",ambos
12,"GENTILE, A",2021,Living in the “bubble”: athletes' psychological profile during the Sambo World Championship,frontiers in psychology,10.3389/fpsyg.2021.657652,https://doi.org/10.3389/fpsyg.2021.657652,,,,,"GENTILE, A.; TRIVIĆ, T.; BIANCO, A. et al. Living in the “bubble”: athletes' psychological profile during the Sambo World Championship. Frontiers in Psychology, v. 12, 657652, 2021.",ambos
13,"HAN, C",2020,Mood profiling in Singapore: cross-cultural validation and potential applications of mood profile clusters,frontiers in psychology,10.3389/fpsyg.2020.00665,https://doi.org/10.3389/fpsyg.2020.00665,,,,,"HAN, C. S. Y.; PARSONS-SMITH, R. L.; TERRY, P. C. Mood profiling in Singapore: cross-cultural validation and potential applications of mood profile clusters. Frontiers in Psychology, v. 11, 665, 2020.",ambos
14,"HARRIS, C",2020,Array programming with NumPy,nature,10.1038/s41586-020-2649-2,https://doi.org/10.1038/s41586-020-2649-2,,,,,"HARRIS, C. R. et al. Array programming with NumPy. Nature, v. 585, n. 7825, p. 357-362, 2020.",ambos
15,"HENZE, A",2025,Athlete monitoring in handball (ATHMON HB): a survey of current practice in professional women's and men's handball,bmc sports science medicine and rehabilitation,10.1186/s13102-025-01177-4,https://doi.org/10.1186/s13102-025-01177-4,,,,,"HENZE, A. S. et al. Athlete monitoring in handball (ATHMON HB): a survey of current practice in professional women's and men's handball. BMC Sports Science, Medicine and Rehabilitation, v. 17, n. 1, 126, 2025.",ambos
16,"HOLM, S",1979,simple sequentially rejective multiple test procedure,,,,,,,,"HOLM, S. A simple sequentially rejective multiple test procedure. Scandinavian Journal of Statistics, v. 6, n. 2, p. 65-70, 1979.",ambos
17,"HOPKINS, W",2000,Measures of reliability in sports medicine and science,,10.2165/00007256-200030010-00001,https://doi.org/10.2165/00007256-200030010-00001,,,,,"HOPKINS, W. G. Measures of reliability in sports medicine and science. Sports Medicine, v. 30, n. 1, p. 1-15, 2000.",ambos
18,"HOPKINS, W",2001,Reliability of power in physical performance tests,,10.2165/00007256-200131030-00005,https://doi.org/10.2165/00007256-200131030-00005,,,,,"HOPKINS, W. G.; SCHABORT, E. J.; HAWLEY, J. A. Reliability of power in physical performance tests. Sports Medicine, v. 31, n. 3, p. 211-234, 2001.",ambos
19,"HUNTER, J",2007,Matplotlib: a 2D graphics environment,computing in science &amp; engineering,10.1109/mcse.2007.55,https://doi.org/10.1109/mcse.2007.55,,,,,"HUNTER, J. D. Matplotlib: a 2D graphics environment. Computing in Science and Engineering, v. 9, n. 3, p. 90-95, 2007.",ambos
20,"KARCHER, C",2014,"On-court demands of elite handball, with special reference to playing positions",sports medicine,10.1007/s40279-014-0164-z,https://doi.org/10.1007/s40279-014-0164-z,,,,,"KARCHER, C.; BUCHHEIT, M. On-court demands of elite handball, with special reference to playing positions. Sports Medicine, v. 44, n. 6, p. 797-814, 2014.",ambos
21,"KELLMANN, M",2018,Recovery and performance in sport: consensus statement,international journal of sports physiology and performance,10.1123/ijspp.2017-0759,https://doi.org/10.1123/ijspp.2017-0759,,,,,"KELLMANN, M. et al. Recovery and performance in sport: consensus statement. International Journal of Sports Physiology and Performance, v. 13, n. 2, p. 240-245, 2018.",ambos
