id,dominio,via,unidade,variavel,recorte,teste,estatistica,rotulo_estatistica,gl,p,p_ajustado,metodo_ajuste,efeito,rotulo_efeito,ic_inf,ic_sup,n,significativo,artigo
1,descritiva,robusta,U-AD,Tensão,geral,média,1.4427710843373494,média,,,,,1.7550037991864338,DP,1.1757902485517375,1.7097519201229612,166,0,ambos
2,descritiva,robusta,U-AD,Tensão,geral,mediana,1.0,mediana,,,,,2.0,AIQ,0.5,1.5,166,0,ambos
3,descritiva,robusta,U-AD,Tensão,geral,média aparada 20%,0.97,média aparada 20%,,,,,1.4826,MAD,,,166,0,ambos
4,descritiva,paramétrica,U-AD,Tensão,normalidade,Shapiro-Wilk,0.799632150369586,W,,8.196817367016167e-14,,,,,,,166,1,ambos
5,descritiva,descritiva,U-AD,Tensão,efeito de piso,percentual no valor mínimo,40.36144578313253,%,,,,,,,,,166,1,ambos
6,descritiva,robusta,U-AD,Depressão,geral,média,1.0180722891566265,média,,,,,2.209409331641062,DP,0.6819647831629037,1.3541797951503494,166,0,ambos
7,descritiva,robusta,U-AD,Depressão,geral,mediana,0.0,mediana,,,,,1.0,AIQ,0.0,0.0,166,0,ambos
8,descritiva,robusta,U-AD,Depressão,geral,média aparada 20%,0.295,média aparada 20%,,,,,0.0,MAD,,,166,0,ambos
9,descritiva,paramétrica,U-AD,Depressão,normalidade,Shapiro-Wilk,0.515048269212903,W,,3.006903301013924e-21,,,,,,,166,1,ambos
10,descritiva,descritiva,U-AD,Depressão,efeito de piso,percentual no valor mínimo,58.43373493975904,%,,,,,,,,,166,1,ambos
11,descritiva,robusta,U-AD,Raiva,geral,média,1.6385542168674698,média,,,,,2.5888025230023484,DP,1.2447313307885517,2.0323771029463877,166,0,ambos
12,descritiva,robusta,U-AD,Raiva,geral,mediana,0.5,mediana,,,,,2.0,AIQ,0.0,0.75,166,0,ambos
13,descritiva,robusta,U-AD,Raiva,geral,média aparada 20%,0.68,média aparada 20%,,,,,0.7413,MAD,,,166,0,ambos
14,descritiva,paramétrica,U-AD,Raiva,normalidade,Shapiro-Wilk,0.6921592717463215,W,,3.299120627076498e-17,,,,,,,166,1,ambos
15,descritiva,descritiva,U-AD,Raiva,efeito de piso,percentual no valor mínimo,49.39759036144578,%,,,,,,,,,166,1,ambos
16,descritiva,robusta,U-AD,Vigor,geral,média,5.698795180722891,média,,,,,3.0559824676596725,DP,5.233902310553507,6.163688050892276,166,0,ambos
17,descritiva,robusta,U-AD,Vigor,geral,mediana,6.0,mediana,,,,,4.0,AIQ,5.5,6.25,166,0,ambos
18,descritiva,robusta,U-AD,Vigor,geral,média aparada 20%,5.75,média aparada 20%,,,,,2.9652,MAD,,,166,0,ambos
19,descritiva,paramétrica,U-AD,Vigor,normalidade,Shapiro-Wilk,0.9806757383709962,W,,0.020420595318208997,,,,,,,166,1,ambos
20,descritiva,descritiva,U-AD,Vigor,efeito de piso,percentual no valor mínimo,6.024096385542169,%,,,,,,,,,166,0,ambos
21,descritiva,robusta,U-AD,Fadiga,geral,média,5.304216867469879,média,,,,,3.734269672780355,DP,4.736139215016973,5.872294519922786,166,0,ambos
22,descritiva,robusta,U-AD,Fadiga,geral,mediana,4.5,mediana,,,,,5.0,AIQ,4.0,5.5,166,0,ambos
23,descritiva,robusta,U-AD,Fadiga,geral,média aparada 20%,4.89,média aparada 20%,,,,,3.7064999999999997,MAD,,,166,0,ambos
