variavel,dia,media,erro_padrao,suavizado,derivada1,derivada2,piso_ruido,e_choque
Tensão,1,2.1481481481481484,0.41672206026214564,2.1481481481481484,,,0.35111239096110036,0
Tensão,2,1.6044871794871793,0.353133177091386,1.6224537037037037,-0.5256944444444447,,0.35111239096110036,1
Tensão,3,1.1326923076923077,0.27352476218663835,1.314690170940171,-0.30776353276353263,0.21793091168091205,0.35111239096110036,0
Tensão,4,1.3888888888888888,0.34528826491882486,1.2303349126718692,-0.08435525826830181,0.22340827449523082,0.35111239096110036,0
Tensão,5,1.0108695652173914,0.286590226149977,1.229929732103645,-0.0004051805682241394,0.08395007770007767,0.35111239096110036,0
Tensão,6,1.5090909090909093,0.4182347510259776,1.2423818934688502,0.012452161365205106,0.012857341933429245,0.35111239096110036,0
Tensão,7,0.9404761904761905,0.36429349509275266,0.9404761904761905,-0.30190570299265973,-0.31435786435786484,0.35111239096110036,0
Depressão,1,1.0555555555555556,0.331547925028484,1.0555555555555556,,,0.44885263324671865,0
Depressão,2,1.2307692307692308,0.39164096184902264,1.0622863247863248,0.006730769230769207,,0.44885263324671865,0
Depressão,3,0.732051282051282,0.27900299155477787,0.956456043956044,-0.10583028083028079,-0.11256105006105,0.44885263324671865,0
Depressão,4,1.130952380952381,0.6204083031238655,0.9198658225832139,-0.03659022137283008,0.06924005945745071,0.44885263324671865,0
Depressão,5,0.6855072463768116,0.40080932664288105,0.8900750517598344,-0.029790770823379553,0.006799450549450525,0.44885263324671865,0
Depressão,6,1.0583333333333333,0.3856878409155655,1.0180037957211872,0.1279287439613528,0.15771951478473234,0.44885263324671865,0
Depressão,7,1.26984126984127,0.732871083612434,1.26984126984127,0.25183747412008284,0.12390873015873005,0.44885263324671865,0
Raiva,1,1.7777777777777777,0.5232032973982074,1.7777777777777777,,,0.49589883783309735,0
Raiva,2,1.6749999999999998,0.4562399747171597,1.6652777777777776,-0.11250000000000004,,0.49589883783309735,0
Raiva,3,1.5333333333333334,0.4179447066033709,1.522718253968254,-0.14255952380952364,-0.03005952380952359,0.49589883783309735,0
Raiva,4,1.349206349206349,0.43173618394464564,1.210291580400276,-0.31242667356797793,-0.1698671497584543,0.49589883783309735,0
Raiva,5,0.6094202898550725,0.25582117403813553,1.0503450655624567,-0.1599465148378194,0.15248015873015852,0.49589883783309735,0
Raiva,6,1.633333333333333,0.49703788290899614,1.5989820565907522,0.5486369910282956,0.708583505866115,0.49589883783309735,1
Raiva,7,2.51984126984127,0.8893086452211655,2.51984126984127,0.920859213250518,0.37222222222222245,0.49589883783309735,1
Vigor,1,7.37037037037037,0.6391726938909442,7.37037037037037,,,0.5853741634044543,0
Vigor,2,5.628846153846155,0.522321868946486,6.0650284900284905,-1.3053418803418797,,0.5853741634044543,1
Vigor,3,5.6320512820512825,0.6188298325098813,5.5466498778998785,-0.518378612128612,0.7869632682132677,0.5853741634044543,0
Vigor,4,5.2936507936507935,0.5662060174708553,5.484910681106333,-0.061739196793545226,0.4566394153350668,0.5853741634044543,0
Vigor,5,5.720289855072464,0.5087443062363967,5.619163686554991,0.1342530054486577,0.19599220224220293,0.5853741634044543,0
Vigor,6,5.742424242424243,0.6521034962215924,5.399498870694523,-0.21966481586046793,-0.35391782130912564,0.5853741634044543,0
Vigor,7,4.392857142857143,0.5902409285550237,4.392857142857143,-1.0066417278373798,-0.7869769119769119,0.5853741634044543,1
Fadiga,1,3.7222222222222223,0.48505685434474444,3.7222222222222223,,,0.7570559382261612,0
Fadiga,2,5.248076923076923,0.5650832530169663,4.829754273504273,1.1075320512820506,,0.7570559382261612,1
Fadiga,3,5.100641025641026,0.643624539359718,5.294482600732601,0.464728327228328,-0.6428037240537225,0.7570559382261612,0
Fadiga,4,5.728571428571429,0.8887540643215495,5.467706840261188,0.17322423952858745,-0.29150408769974057,0.7570559382261612,0
Fadiga,5,5.3130434782608695,0.8185801817584236,5.4757858083945035,0.008078968133315101,-0.16514527139527235,0.7570559382261612,0
Fadiga,6,5.548484848484848,0.8684394048342222,5.936828690633039,0.4610428822385355,0.4529639141052204,0.7570559382261612,0
Fadiga,7,7.337301587301588,1.0298532699475045,7.337301587301588,1.400472896668549,0.9394300144300134,0.7570559382261612,1
Confusão,1,0.9629629629629629,0.2836046035809573,0.9629629629629629,,,0.2102258824329867,0
Confusão,2,0.5102564102564103,0.16542893463020988,0.5708689458689459,-0.39209401709401703,,0.2102258824329867,1
Confusão,3,0.3,0.1227881227029841,0.3807387057387057,-0.19013024013024016,0.20196377696377688,0.2102258824329867,0
Confusão,4,0.4126984126984127,0.1684896522418289,0.32808833678398897,-0.05265036895471675,0.1374798711755234,0.2102258824329867,0
Confusão,5,0.18695652173913044,0.1002574448609327,0.3434331670744714,0.015344830290482447,0.0679951992451992,0.2102258824329867,0
Confusão,6,0.5871212121212122,0.27141766095615505,0.46827592697157916,0.12484275989710775,0.1094979296066253,0.2102258824329867,0
Confusão,7,0.5119047619047619,0.35959475805783897,0.5119047619047619,0.0436288349331827,-0.08121392496392504,0.2102258824329867,0
TMD,1,2.2962962962962963,1.371842206435728,2.2962962962962963,,,1.8652609733364094,0
TMD,2,4.639743589743589,1.4910224441617514,3.6856125356125355,1.3893162393162393,,1.8652609733364094,0
TMD,3,3.166666666666667,1.6116984193303026,3.9224358974358977,0.23682336182336217,-1.152492877492877,1.8652609733364094,0
TMD,4,4.716666666666667,2.164634272663984,3.6713768115942034,-0.25105908584169434,-0.4878824476650565,1.8652609733364094,0
TMD,5,2.0855072463768116,1.6118179411709954,3.3704051383399207,-0.30097167325428265,-0.049912587412588305,1.8652609733364094,0
TMD,6,4.593939393939394,2.001749939530887,4.8649734926908845,1.4945683543509638,1.7955400276052464,1.8652609733364094,0
TMD,7,8.186507936507937,2.8040615900612167,8.186507936507937,3.321534443817052,1.8269660894660884,1.8652609733364094,1
Fad.Física,1,4.148148148148148,0.3725009941045023,4.148148148148148,,,0.4050402077774678,0
Fad.Física,2,5.692307692307693,0.34550252113472874,5.360594729344729,1.2124465811965814,,0.4050402077774678,1
Fad.Física,3,5.909615384615384,0.35717095080638106,6.0092338217338215,0.6486390923890921,-0.5638074888074893,0.4050402077774678,1
Fad.Física,4,6.525396825396825,0.4549298147037348,6.212566026968201,0.20333220523437934,-0.4453068871547128,0.4050402077774678,0
Fad.Física,5,5.889855072463769,0.4515548446217798,6.134799469853818,-0.07776655711438263,-0.28109876234876197,0.4050402077774678,0
Fad.Física,6,6.234090909090909,0.49255700840903793,6.478398111550286,0.3435986416964676,0.4213651988108502,0.4050402077774678,0
