perfil,dia,prevalencia,erro_padrao,suavizado,derivada1,piso_ruido,e_choque
Iceberg,1,44.44444444444444,9.562921842487448,44.44444444444444,,9.238913327546678,0
Iceberg,2,23.076923076923077,8.262863931224224,31.3034188034188,-13.141025641025642,9.238913327546678,1
Iceberg,3,34.61538461538461,9.330087000722768,30.21978021978022,-1.0836385836385816,9.238913327546678,0
Iceberg,4,28.57142857142857,9.858079419176489,30.548256091734352,0.32847587195413297,9.238913327546678,0
Iceberg,5,30.434782608695656,9.594387554215139,29.178430265386787,-1.3698258263475651,9.238913327546678,0
Iceberg,6,27.27272727272727,9.495144870310792,26.00696405044231,-3.171466214944477,9.238913327546678,0
Iceberg,7,19.047619047619047,8.56890867468988,19.047619047619047,-6.959345002823262,9.238913327546678,0
Superfície,1,22.22222222222222,8.00091444247884,22.22222222222222,,6.672878912999278,0
Superfície,2,23.076923076923077,8.262863931224224,19.017094017094017,-3.2051282051282044,6.672878912999278,0
Superfície,3,7.6923076923076925,5.225894003744288,14.377289377289376,-4.639804639804641,6.672878912999278,0
Superfície,4,19.047619047619047,8.56890867468988,13.620799490364707,-0.756489886924669,6.672878912999278,0
Superfície,5,8.695652173913043,5.875338475584142,11.382458121588556,-2.238341368776151,6.672878912999278,0
Superfície,6,9.090909090909092,6.1290896587567465,7.909843779408997,-3.4726143421795586,6.672878912999278,0
Superfície,7,4.761904761904762,4.647143204516825,4.761904761904762,-3.1479390175042354,6.672878912999278,0
Submerso,1,18.51851851851852,7.4756798866604734,18.51851851851852,,7.281394954676865,0
Submerso,2,11.538461538461538,6.265626800161944,13.283475783475785,-5.235042735042734,7.281394954676865,0
Submerso,3,11.538461538461538,6.265626800161944,12.225274725274724,-1.0582010582010604,7.281394954676865,0
Submerso,4,14.285714285714285,7.636035483212125,14.375298614429049,2.1500238891543244,7.281394954676865,0
Submerso,5,17.391304347826086,7.903419644751181,14.539808018068888,0.16450940363983868,7.281394954676865,0
Submerso,6,9.090909090909092,6.1290896587567465,14.845661584792019,0.30585356672313146,7.281394954676865,0
Submerso,7,23.809523809523807,9.29428640903365,23.809523809523807,8.963862224731788,7.281394954676865,1
Barbatana de tubarão,1,3.7037037037037033,3.6344694923159864,3.7037037037037033,,8.628381902493674,0
Barbatana de tubarão,2,30.76923076923077,9.051513929454648,23.04131054131054,19.337606837606838,8.628381902493674,1
Barbatana de tubarão,3,26.923076923076923,8.698929247330863,28.296703296703296,5.255392755392755,8.628381902493674,0
Barbatana de tubarão,4,28.57142857142857,9.858079419176489,29.712135690396558,1.415432393693262,8.628381902493674,0
Barbatana de tubarão,5,34.78260869565217,9.931134621220187,32.488706945228685,2.7765712548321275,8.628381902493674,0
Barbatana de tubarão,6,31.818181818181817,9.930260198923898,30.557124035384906,-1.9315829098437796,8.628381902493674,0
Barbatana de tubarão,7,23.809523809523807,9.29428640903365,23.809523809523807,-6.747600225861099,8.628381902493674,0
Iceberg invertido,1,11.11111111111111,6.04812282168686,11.11111111111111,,6.970617988125399,0
Iceberg invertido,2,11.538461538461538,6.265626800161944,13.354700854700855,2.2435897435897445,6.970617988125399,0
Iceberg invertido,3,19.230769230769234,7.729201466043274,13.690476190476192,0.33577533577533636,6.970617988125399,0
Iceberg invertido,4,4.761904761904762,4.647143204516825,9.362557732122951,-4.32791845835324,6.970617988125399,0
