variavel,recorte,p_nao_param,p_param,p_misto
Confusão,D1..D7,0.0008895814012511656,0.03699038279345881,
Confusão,efeito linear do dia,,,0.15469282248159644
Confusão,ordenada D1→D7,0.027975361761586548,,
Depressão,D1..D7,0.8632851011483449,0.5587628243278977,
Depressão,efeito linear do dia,,,0.35905670355000685
Depressão,ordenada D1→D7,0.9679819968790588,,
Epworth,D1..D7,0.008737811900074891,0.013839136499556488,
Epworth,ordenada D1→D7,0.007159361739016212,,
Fad.Física,D1..D7,1.116639504570389e-08,3.986652354694637e-07,
Fad.Física,ordenada D1→D7,2.6705544442506834e-09,,
Fad.Mental,D1..D7,0.24283735366157266,0.38372110358920647,
Fad.Mental,ordenada D1→D7,0.5142301579299446,,
Fadiga,D1..D7,0.04526294263974447,0.012574800120724367,
Fadiga,efeito linear do dia,,,4.721632193785408e-06
Fadiga,ordenada D1→D7,0.003613062933458311,,
PSS,D1..D7,0.9288040422343193,0.5598531642914502,
PSS,ordenada D1→D7,0.8330965530236862,,
Raiva,D1..D7,0.2530076132300967,0.24516172748194004,
Raiva,efeito linear do dia,,,0.8803143527852335
Raiva,ordenada D1→D7,0.12718506235403315,,
TMD,D1..D7,0.1738990815211158,0.08969733470328844,
TMD,efeito linear do dia,,,0.006173203552637538
TMD,ordenada D1→D7,0.5741490727971619,,
Tensão,D1..D7,0.06910204267910008,0.0254770811397525,
Tensão,efeito linear do dia,,,0.0007199446364192592
Tensão,ordenada D1→D7,0.0061530188011811315,,
Vigor,D1..D7,0.003511930915435946,0.0007092079268002253,
Vigor,efeito linear do dia,,,5.932232791780919e-07
Vigor,ordenada D1→D7,0.0014674391665732145,,
