variavel,tipo,dominio,n,mediana,iqr,shapiro_p,n_tukey_moderado,fora_dominio
atleta,nominal,27 níveis,,,,,,
dia,ordinal,1 a 7,,,,,,
tipo_estimulo,nominal,"Basal, HIIT, Amistoso, Técnico/força",,,,,,
periodo,nominal,"madrugada, manhã, tarde, noite",,,,,,
momento,nominal,"pré, pós, único",,,,,,
sensacao_fisica,ordinal,Muito mal a Muito bem,,,,,,
sensacao_mental,ordinal,Muito mal a Muito bem,,,,,,
item BRUMS (24),ordinal,0 a 4,,,,,,
item Epworth (6),ordinal,0 a 3,,,,,,
item PSS (14),ordinal,0 a 4,,,,,,
Tensão…Confusão,discreta,0 a 16,,,,,,
TMD,discreta,−16 a 80,456,2.0,10.0,4.202107531721583e-17,22,0
Fad.Física,discreta,0 a 10,456,6.0,3.0,1.0964273278692874e-09,3,0
Fad.Mental,discreta,0 a 10,456,4.0,5.0,1.2351381658814607e-10,0,0
Epworth,discreta,0 a 24,456,10.0,7.0,1.8929588091399244e-09,0,0
PSS,discreta,0 a 56,456,22.0,7.0,0.00033061503550843834,3,0
TQR,ordinal,6 a 20,454,13.0,4.75,9.824049109755915e-11,0,0
escore T,contínua,real,,,,,,
média diária,contínua,0 a 16,,,,,,
hora decimal,contínua,real,,,,,,
