dominio,via,variavel,recorte,teste,p,p_ajustado,efeito,rotulo_efeito,n,artigo
associação,não paramétrica,Confusão×TMD,geral,Spearman,2.663482196764417e-09,3.9952232951466254e-08,,,166,ambos
associação,paramétrica,Confusão×TMD,geral,Pearson,6.460765662161483e-18,1.098330162567452e-16,,,166,A2
associação,não paramétrica,Depressão×Confusão,geral,Spearman,1.0503287143758063e-14,1.68052594300129e-13,,,166,ambos
associação,paramétrica,Depressão×Confusão,geral,Pearson,8.169907810684135e-26,1.5522824840299856e-24,,,166,A2
associação,não paramétrica,Depressão×Fadiga,geral,Spearman,1.1839334928754507e-08,1.539113540738086e-07,,,166,ambos
associação,paramétrica,Depressão×Fadiga,geral,Pearson,1.731933621674996e-11,2.4247070703449945e-10,,,166,A2
associação,não paramétrica,Depressão×Raiva,geral,Spearman,6.258418357361985e-16,1.0639311207515374e-14,,,166,ambos
associação,paramétrica,Depressão×Raiva,geral,Pearson,7.602754788733275e-12,1.1404132183099913e-10,,,166,A2
associação,não paramétrica,Depressão×TMD,geral,Spearman,5.2453443600280015e-18,9.966154284053203e-17,,,166,ambos
associação,paramétrica,Depressão×TMD,geral,Pearson,3.5565631718392515e-36,7.113126343678503e-35,,,166,A2
associação,paramétrica,Depressão×Vigor,geral,Pearson,0.0015931013595773863,0.011151709517041704,,,166,A2
associação,paramétrica,Fadiga×Confusão,geral,Pearson,0.0007030946432847837,0.006327851789563053,,,166,A2
associação,não paramétrica,Fadiga×TMD,geral,Spearman,7.23525663075211e-33,1.519403892457943e-31,,,166,ambos
associação,paramétrica,Fadiga×TMD,geral,Pearson,4.452160074606865e-38,9.349536156674417e-37,,,166,A2
associação,não paramétrica,Raiva×Confusão,geral,Spearman,8.734477545683631e-08,9.607925300251994e-07,,,166,ambos
associação,paramétrica,Raiva×Confusão,geral,Pearson,3.261033030446919e-07,3.587136333491611e-06,,,166,A2
associação,não paramétrica,Raiva×Fadiga,geral,Spearman,2.0517331808922494e-08,2.462079817070699e-07,,,166,ambos
associação,paramétrica,Raiva×Fadiga,geral,Pearson,2.592500823917937e-10,3.3702510710933177e-09,,,166,A2
associação,não paramétrica,Raiva×TMD,geral,Spearman,1.4813487113089575e-17,2.666427680356123e-16,,,166,ambos
associação,paramétrica,Raiva×TMD,geral,Pearson,1.0963623581347336e-25,1.9734522446425204e-24,,,166,A2
associação,não paramétrica,Tensão×Confusão,geral,Spearman,6.6492689184991485e-09,9.308976485898808e-08,,,166,ambos
associação,paramétrica,Tensão×Confusão,geral,Pearson,0.00013735710710831002,0.0013735710710831002,,,166,A2
