variavel,rotulo,familia,minimo,maximo,direcao,norma_m,norma_dp
Tensão,Tensão,BRUMS,0.0,16.0,alto pior,4.0,3.077
Depressão,Depressão,BRUMS,0.0,16.0,alto pior,0.933,1.867
Raiva,Raiva,BRUMS,0.0,16.0,alto pior,0.761,1.522
Vigor,Vigor,BRUMS,0.0,16.0,alto melhor,8.195,3.902
Fadiga,Fadiga,BRUMS,0.0,16.0,alto pior,3.019,3.019
Confusão,Confusão,BRUMS,0.0,16.0,alto pior,1.425,1.781
TMD,Perturbação total do humor,composto,-16.0,80.0,alto pior,,
Fad.Física,Fadiga física,fadiga,0.0,10.0,alto pior,,
Fad.Mental,Fadiga mental,fadiga,0.0,10.0,alto pior,,
Epworth,Sonolência diurna (Epworth),sono,0.0,24.0,alto pior,,
PSS,Estresse percebido (PSS),estresse,0.0,56.0,alto pior,,
