id,Grupo,pos,Idade,Estatura,Massa,%G,CMJ_pre,CMJ_pos,CMJ_d,BkMel_pre,BkMel_pos,BkMel_d,BkSoma_pre,BkSoma_pos,BkSoma_d,BkF_pre,BkF_pos,BkF_d,TCARpv_pre,TCARpv_pos,TCARpv_d,TCARfc_pre,TCARfc_pos,TCARrep_pre,TCARrep_pos,Carga_%FC,Carga_TRIMP,Carga_PSE
P01,Controle,meia,18,184.8,60.5,5.86,40.0,39.3,-0.7000000000000028,7.82,8.04,0.21999999999999886,67.34,68.07,0.7299999999999898,5.95,4.02,-1.9300000000000006,13.9,14.5,0.5999999999999996,209,206,46,51,,,
P02,Controle,meia,20,181.0,74.3,8.92,37.9,37.6,-0.29999999999999716,8.44,8.31,-0.129999999999999,70.5,68.93,-1.5699999999999932,4.16,2.45,-1.71,14.5,14.6,0.09999999999999964,195,189,51,52,,,
P03,Controle,ponta,21,182.5,74.3,4.97,44.1,46.1,2.0,8.2,8.04,-0.16000000000000014,70.83,67.73,-3.0999999999999943,7.01,3.8,-3.21,14.5,14.6,0.09999999999999964,191,194,51,52,,,
P04,Controle,ponta,24,181.0,76.4,12.86,53.1,52.0,-1.1000000000000014,8.07,8.45,0.379999999999999,68.69,70.7,2.010000000000005,5.05,2.6,-2.4499999999999997,14.5,14.5,0.0,198,199,51,51,,,
P05,Controle,ponta,23,170.8,77.1,6.82,38.2,35.5,-2.700000000000003,7.93,8.07,0.14000000000000057,67.97,67.17,-0.7999999999999972,6.9,3.02,-3.8800000000000003,14.5,14.5,0.0,193,191,51,51,,,
P06,Controle,ponta,20,178.2,78.0,7.59,41.2,42.1,0.8999999999999986,8.51,8.53,0.019999999999999574,73.94,69.37,-4.569999999999993,4.23,1.81,-2.4200000000000004,17.3,17.0,-0.3000000000000007,191,193,74,72,,,
P07,Controle,meia,24,178.5,78.3,11.53,46.5,48.5,2.0,8.42,7.77,-0.6500000000000004,70.69,65.83,-4.859999999999999,4.09,3.84,-0.25,16.4,16.0,-0.3999999999999986,202,197,67,63,,,
P08,Controle,pivo,20,184.0,89.0,7.81,37.1,41.7,4.600000000000001,8.58,8.01,-0.5700000000000003,71.26,66.76,-4.5,1.9,2.69,0.79,15.2,15.7,0.5,178,186,57,61,,,
P09,Controle,ponta,19,184.0,89.0,15.33,33.0,33.8,0.7999999999999972,8.13,8.23,0.09999999999999964,68.2,68.17,-0.030000000000001137,3.72,3.24,-0.48,15.7,16.6,0.9000000000000021,189,195,61,68,,,
P10,Controle,goleiro,22,182.7,90.2,13.01,38.3,38.7,0.4000000000000057,8.73,8.54,-0.19000000000000128,71.43,69.52,-1.9100000000000108,2.06,2.11,0.04999999999999982,15.5,14.6,-0.9000000000000004,206,194,59,52,,,
