pair,dim,pv,mood
1,Vigor,15.1,7.12
1,Fadiga,15.1,4.12
1,FadFisica,15.1,5.75
1,FadMental,15.1,0.58
1,TMD,15.1,3.08
1,Tensao,15.1,0.67
1,Depressao,15.1,0.42
1,Raiva,15.1,2.08
1,Confusao,15.1,0.42
2,Vigor,15.4,6.32
2,Fadiga,15.4,6.68
2,FadFisica,15.4,7.24
2,FadMental,15.4,2.76
2,TMD,15.4,5.6
2,Tensao,15.4,1.92
2,Depressao,15.4,0.48
2,Raiva,15.4,0.0
2,Confusao,15.4,0.0
3,Vigor,13.9,4.79
3,Fadiga,13.9,9.25
3,FadFisica,13.9,7.57
3,FadMental,13.9,12.64
3,TMD,13.9,7.61
3,Tensao,13.9,3.57
3,Depressao,13.9,1.39
3,Raiva,13.9,2.82
3,Confusao,13.9,0.39
4,Vigor,15.0,5.29
4,Fadiga,15.0,4.04
4,FadFisica,15.0,5.64
4,FadMental,15.0,1.5
4,TMD,15.0,2.89
4,Tensao,15.0,2.61
4,Depressao,15.0,0.04
4,Raiva,15.0,0.07
4,Confusao,15.0,0.04
5,Vigor,17.5,6.76
5,Fadiga,17.5,4.6
5,FadFisica,17.5,4.16
5,FadMental,17.5,6.96
5,TMD,17.5,3.48
5,Tensao,17.5,2.44
5,Depressao,17.5,0.56
5,Raiva,17.5,5.84
5,Confusao,17.5,0.28
6,Vigor,15.6,10.41
6,Fadiga,15.6,4.76
6,FadFisica,15.6,5.94
6,FadMental,15.6,1.65
6,TMD,15.6,5.41
6,Tensao,15.6,4.06
6,Depressao,15.6,1.18
6,Raiva,15.6,1.71
6,Confusao,15.6,0.35
7,Vigor,13.9,0.0
7,Fadiga,13.9,6.83
7,FadFisica,13.9,6.17
7,FadMental,13.9,8.33
7,TMD,13.9,5.83
7,Tensao,13.9,0.5
7,Depressao,13.9,1.0
7,Raiva,13.9,0.0
7,Confusao,13.9,0.0
8,Vigor,13.2,9.15
8,Fadiga,13.2,4.3
8,FadFisica,13.2,5.3
8,FadMental,13.2,-3.1
8,TMD,13.2,1.3
8,Tensao,13.2,0.95
8,Depressao,13.2,0.65
8,Raiva,13.2,0.05
8,Confusao,13.2,0.1
9,Vigor,14.9,3.7
9,Fadiga,14.9,6.6
9,FadFisica,14.9,6.3
9,FadMental,14.9,4.9
9,TMD,14.9,6.1
9,Tensao,14.9,1.7
9,Depressao,14.9,0.2
9,Raiva,14.9,0.0
9,Confusao,14.9,0.1
10,Vigor,13.9,3.29
10,Fadiga,13.9,1.43
10,FadFisica,13.9,6.79
10,FadMental,13.9,-0.36
10,TMD,13.9,5.21
10,Tensao,13.9,0.5
10,Depressao,13.9,0.07
10,Raiva,13.9,0.79
10,Confusao,13.9,0.14
11,Vigor,14.6,6.25
11,Fadiga,14.6,7.38
11,FadFisica,14.6,7.12
11,FadMental,14.6,2.0
11,TMD,14.6,4.5
11,Tensao,14.6,0.19
11,Depressao,14.6,0.0
11,Raiva,14.6,0.38
11,Confusao,14.6,0.31
12,Vigor,14.2,1.5
12,Fadiga,14.2,12.68
12,FadFisica,14.2,7.55
12,FadMental,14.2,29.0
12,TMD,14.2,9.86
12,Tensao,14.2,3.36
12,Depressao,14.2,9.09
12,Raiva,14.2,2.09
12,Confusao,14.2,3.27
13,Vigor,14.5,3.42
13,Fadiga,14.5,0.75
13,FadFisica,14.5,2.0
13,FadMental,14.5,-2.0
13,TMD,14.5,1.08
13,Tensao,14.5,0.0
13,Depressao,14.5,0.0
13,Raiva,14.5,0.58
13,Confusao,14.5,0.08
14,Vigor,14.9,1.74
14,Fadiga,14.9,5.17
14,FadFisica,14.9,8.0
14,FadMental,14.9,6.3
14,TMD,14.9,6.26
14,Tensao,14.9,2.39
14,Depressao,14.9,0.26
14,Raiva,14.9,0.13
14,Confusao,14.9,0.09
15,Vigor,14.4,4.27
15,Fadiga,14.4,11.67
15,FadFisica,14.4,8.4
15,FadMental,14.4,18.47
15,TMD,14.4,7.87
15,Tensao,14.4,6.53
15,Depressao,14.4,1.93
15,Raiva,14.4,1.8
15,Confusao,14.4,0.8
16,Vigor,15.0,7.93
16,Fadiga,15.0,1.27
16,FadFisica,15.0,3.4
16,FadMental,15.0,-2.27
16,TMD,15.0,1.67
16,Tensao,15.0,0.2
16,Depressao,15.0,0.47
16,Raiva,15.0,2.73
16,Confusao,15.0,1.0
17,Vigor,15.4,5.46
17,Fadiga,15.4,3.31
17,FadFisica,15.4,4.31
17,FadMental,15.4,1.69
17,TMD,15.4,4.46
17,Tensao,15.4,1.54
17,Depressao,15.4,0.31
17,Raiva,15.4,1.54
17,Confusao,15.4,0.46
18,Vigor,15.8,4.2
18,Fadiga,15.8,3.3
18,FadFisica,15.8,5.5
18,FadMental,15.8,9.5
18,TMD,15.8,4.4
18,Tensao,15.8,2.5
18,Depressao,15.8,3.2
18,Raiva,15.8,2.2
18,Confusao,15.8,2.5
19,Vigor,14.4,6.33
19,Fadiga,14.4,5.33
19,FadFisica,14.4,5.67
19,FadMental,14.4,10.67
19,TMD,14.4,7.33
19,Tensao,14.4,0.33
19,Depressao,14.4,4.67
19,Raiva,14.4,6.67
19,Confusao,14.4,0.0
20,Vigor,13.2,4.31
20,Fadiga,13.2,10.0
20,FadFisica,13.2,8.31
20,FadMental,13.2,7.62
20,TMD,13.2,0.19
20,Tensao,13.2,0.25
20,Depressao,13.2,0.56
20,Raiva,13.2,1.0
20,Confusao,13.2,0.12
21,Vigor,14.4,6.38
21,Fadiga,14.4,3.05
21,FadFisica,14.4,7.19
21,FadMental,14.4,-0.19
21,TMD,14.4,5.71
21,Tensao,14.4,0.29
21,Depressao,14.4,0.0
21,Raiva,14.4,2.86
21,Confusao,14.4,0.0
22,Vigor,16.4,6.81
22,Fadiga,16.4,6.19
22,FadFisica,16.4,5.52
22,FadMental,16.4,-0.19
22,TMD,16.4,1.9
22,Tensao,16.4,0.29
22,Depressao,16.4,0.13
22,Raiva,16.4,0.0
22,Confusao,16.4,0.0
23,Vigor,16.9,8.7
23,Fadiga,16.9,3.95
23,FadFisica,16.9,4.55
23,FadMental,16.9,-2.2
23,TMD,16.9,2.8
23,Tensao,16.9,0.65
23,Depressao,16.9,0.45
23,Raiva,16.9,1.15
23,Confusao,16.9,0.3
24,Vigor,16.2,8.0
24,Fadiga,16.2,1.4
24,FadFisica,16.2,4.2
24,FadMental,16.2,-3.0
24,TMD,16.2,5.4
24,Tensao,16.2,0.2
24,Depressao,16.2,1.6
24,Raiva,16.2,1.2
24,Confusao,16.2,0.6
